Event Code;Date;Time;Lane/order;Bib No;;;;;;;
42;30.08.2020;5:35;;;;;;3000;3000 m prekážok [91,4 cm] Muži;;On line system .s.r.o.
;;;7;4;Habrda;Boris;ACNZA;;;;
;;;2;113;Vajs;Roman;DUKBB;;;;
;;;3;2;Ondrovič;Marek;ACMAL;;;;
;;;9;228;Malek;Ondrej;SLAZI;;;;
;;;8;29;Hiadlovský;Tadeáš;AFKNM;;;;
;;;5;180;Kompas;Matúš;NRSOG;;;;
;;;1;184;Mazúch;David;NRSOG;;;;
;;;4;35;Koperdák;Lukáš;AKSNV;;;;
;;;6;36;Lazar;Samuel;AKSNV;;;;
43;30.08.2020;6:15;;;;;;1600;4 x 400 m kluby Ženy Beh;;On line system .s.r.o.
;;;6;175;Strýčková;Viktória;NASAA;;;;
;;;7;215;Vašková;Adriána;SKJAB;;;;
;;;4;199;Švecová;Andrea;NRSOG;;;;
;;;5;125;Putalová;Iveta;DUKBB;;;;
;;;3;262;Bučičová;Natália;STUBA;;;;
44;30.08.2020;6:30;;;;;;1600;4 x 400 m kluby Muži Beh;;On line system .s.r.o.
;;;5;94;Bujna;Šimon;DUKBB;;;;
;;;3;154;Benda;Jakub;NASAA;;;;
;;;4;250;Marček;Miroslav;STUBA;;;;
;;;6;184;Mazúch;David;NRSOG;;;;
;;;7;159;Janáč;Timotej Filip;NASAA;;;;
