"Event";"Round";"Heat";"Date";"Hour";"Wind";"Temp";"File";"Official"
   0;   0;   1;"   30.11.2019";" 11:27:33.5751";"       N/A";"       N/A";" ";"        ";
   0;   0;   2;"   30.11.2019";" 11:29:16.3428";"       N/A";"       N/A";" ";"Official";
   0;   0;   3;"   30.11.2019";" 11:31:26.7128";"       N/A";"       N/A";" ";"Official";
   0;   0;   5;"   30.11.2019";" 11:36:27.8019";"       N/A";"       N/A";" ";"Official";
   0;   0;   4;"   30.11.2019";" 11:34:15.4378";"       N/A";"       N/A";" ";"Official";
   0;   0;   6;"   30.11.2019";" 11:37:56.8125";"       N/A";"       N/A";" ";"Official";
   0;   0;   8;"   30.11.2019";" 11:41:55.2816";"       N/A";"       N/A";" ";"Official";
   0;   0;   7;"   30.11.2019";" 11:39:36.8931";"       N/A";"       N/A";" ";"        ";
   0;   0;   9;"   30.11.2019";"  9:22:26.4816";"       N/A";"       N/A";" ";"        ";
   0;   0;  11;"   30.11.2019";" 11:47:34.5810";"       N/A";"       N/A";" ";"        ";
   0;   0;  10;"   30.11.2019";" 11:45:48.8031";"       N/A";"       N/A";" ";"        ";
   0;   0;  12;"   30.11.2019";" 11:48:59.6357";"       N/A";"       N/A";" ";"        ";
   0;   0;  13;"   30.11.2019";" 11:50:15.2495";"       N/A";"       N/A";" ";"        ";
   0;   0;  14;"   30.11.2019";" 11:51:37.9403";"       N/A";"       N/A";" ";"        ";
   0;   0;  15;"   30.11.2019";" 11:53:02.7397";"       N/A";"       N/A";" ";"        ";
   0;   0;  16;"   30.11.2019";" 11:54:06.2272";"       N/A";"       N/A";" ";"Official";
   0;   0;  17;"   30.11.2019";" 11:55:06.2142";"       N/A";"       N/A";" ";"Official";
   0;   0;  18;"   30.11.2019";" 11:56:24.7269";"       N/A";"       N/A";" ";"        ";
   0;   0;  19;"   30.11.2019";" 11:58:00.6614";"       N/A";"       N/A";" ";"Official";
   0;   0;  20;"   30.11.2019";" 11:59:26.0862";"       N/A";"       N/A";" ";"        ";
   0;   0;  21;"   30.11.2019";" 12:00:28.8661";"       N/A";"       N/A";" ";"        ";
   0;   0;  22;"   30.11.2019";" 12:01:42.9842";"       N/A";"       N/A";" ";"        ";
   0;   0;  23;"   30.11.2019";" 12:03:01.4526";"       N/A";"       N/A";" ";"Official";
   0;   0;  24;"   30.11.2019";" 12:04:28.2586";"       N/A";"       N/A";" ";"        ";
   0;   0;  25;"   30.11.2019";" 12:05:56.7985";"       N/A";"       N/A";" ";"        ";
   0;   0;  46;"   30.11.2019";" 10:10:50.5110";"       N/A";"       N/A";" ";"Official";
   0;   0;  26;"   30.11.2019";" 12:08:32.1009";"       N/A";"       N/A";" ";"        ";
   0;   0;  27;"   30.11.2019";" 12:09:57.7716";"       N/A";"       N/A";" ";"        ";
   0;   0;  28;"   30.11.2019";" 12:11:21.3040";"       N/A";"       N/A";" ";"Official";
   0;   0;  29;"   30.11.2019";" 12:12:47.1304";"       N/A";"       N/A";" ";"Official";
   0;   0;  30;"   30.11.2019";" 12:14:30.5635";"       N/A";"       N/A";" ";"        ";
   0;   0;  31;"   30.11.2019";" 10:34:00.8711";"       N/A";"       N/A";" ";"        ";
   0;   0;  32;"   30.11.2019";" 10:37:48.0952";"       N/A";"       N/A";" ";"Official";
   0;   0;  33;"   30.11.2019";" 12:32:28.1992";"       N/A";"       N/A";" ";"        ";
   0;   0;  36;"   30.11.2019";" 12:41:50.9181";"       N/A";"       N/A";" ";"        ";
   0;   0;  34;"   30.11.2019";" 12:47:02.1698";"       N/A";"       N/A";" ";"        ";
   0;   0;  35;"   30.11.2019";" 12:37:20.7355";"       N/A";"       N/A";" ";"Official";
   0;   0;  37;"   30.11.2019";" 12:51:09.8618";"       N/A";"       N/A";" ";"        ";
   0;   0;  43;"   30.11.2019";" 13:29:40.5099";"       N/A";"       N/A";" ";"        ";
   0;   0;  38;"   30.11.2019";" 13:05:52.0061";"       N/A";"       N/A";" ";"        ";
   0;   0;  40;"   30.11.2019";" 13:17:28.7926";"       N/A";"       N/A";" ";"        ";
   0;   0;  39;"   30.11.2019";" 13:14:20.2790";"       N/A";"       N/A";" ";"        ";
   0;   0;  51;"   30.11.2019";" 13:08:47.1603";"       N/A";"       N/A";" ";"        ";
   0;   0;  52;"   30.11.2019";" 13:11:14.5652";"       N/A";"       N/A";" ";"        ";
   0;   0;  45;"   30.11.2019";" 13:19:57.5510";"       N/A";"       N/A";" ";"        ";
   0;   0;  41;"   30.11.2019";" 13:21:55.1799";"       N/A";"       N/A";" ";"        ";
   0;   0;  42;"   30.11.2019";" 13:23:39.4223";"       N/A";"       N/A";" ";"        ";
   0;   0;  48;"   30.11.2019";" 13:25:25.6952";"       N/A";"       N/A";" ";"        ";
   0;   0;  49;"   30.11.2019";" 13:27:11.2210";"       N/A";"       N/A";" ";"        ";
   0;   0;  54;"   30.11.2019";" 13:31:24.1833";"       N/A";"       N/A";" ";"        ";
